name,city,state,lat,lon
Great American Music Hall,San Francisco,California,37.7847659,-122.41883557457400
The Chapel,San Francisco,California,37.7604879,-122.42120099500400
Rickshaw Stop,San Francisco,California,37.7759904,-122.42047537588300
The Independent,San Francisco,California,37.7755281,-122.43764100406100
Bottom of the Hill,San Francisco,California,37.7649626,-122.39641152656000
Cafe du Nord,San Francisco,California,37.7667182,-122.43054460123200
The Fillmore,San Francisco,California,37.7840838,-122.433171
Kilowatt,San Francisco,California,37.7649743,-122.4232405
DNA Lounge,San Francisco,California,37.77108755,-122.41261257044600
Hotel Utah,San Francisco,California,37.77930235,-122.39816076428800
Cornerstone,San Francisco,California,37.7574184,-122.48367362001500
Elbo Room,San Francisco,California,37.7625463,-122.4215367
924 Gilman,San Francisco,California,37.7177907755102,-122.38716997959200
August Hall,San Francisco,California,37.7875876,-122.4097872
Boom Boom Room,San Francisco,California,37.7846021,-122.433137
Cafe Du Nord,San Francisco,California,37.7667182,-122.43054460123200
CounterPulse,San Francisco,California,37.7833739,-122.4104095
Gray Area,San Francisco,California,37.7544372,-122.4182629024850
Hotel Utah,San Francisco,California,37.77930235,-122.39816076428800
Kilowatt,San Francisco,California,37.7649743,-122.4232405
Knockout,San Francisco,California,37.7451409,-122.420005
The Lost Church,San Francisco,California,37.7657871,-122.41846711128800
Make Out Room,San Francisco,California,37.755275,-122.4194265
Neck of the Woods,San Francisco,California,37.7831255,-122.4637116
Public Works,San Francisco,California,37.7688931,-122.41926507660800
Regency Ballroom,San Francisco,California,37.7878176,-122.4215762
Thee Parkside,San Francisco,California,37.7651806,-122.399908
Warfield,San Francisco,California,37.7826218,-122.41034204471700
Fox Theater,Los Angeles,California,34.0626647,-118.447281
Greek Theatre,Los Angeles,California,34.1194936,-118.29642955918600
Starline Social Club,Oakland,California,37.812282100000000,-122.2725457777840
Ashkenaz,Berkeley,California,37.88014045,-122.29534700403000
,,,,
Eli’s Mile High Club,Oakland,California,37.8257804,-122.26967135
,,,,
Ivy Room,,California,37.8904419,-122.2992009
Little Hill Lounge,,California,37.9129477,-122.3099732
The New Parish,Oakland,California,37.8076736,-122.2725839
Thee Stork Club,Oakland,California,37.81313635,-122.26838485
UC Theatre,Berkeley,California,37.8718055,-122.2698143
Yoshi’s,Oakland,California,37.796226,-122.2785951
,,,,
Sweetwater Music Hall,,California,37.9069947,-122.54814382670900